domein,url,status,score,created_at,completed_at
gemhw-jzd.decosasp.com,https://gemhw-jzd.decosasp.com/,done,1.5,2026-03-24 11:09:21.513146+00,2026-03-24 11:10:06.373682+00
www.rdw.nl,https://www.rdw.nl/,done,1.0,2026-03-24 11:08:32.634471+00,2026-03-24 11:09:17.731815+00
www.gemeentehw.nl,https://www.gemeentehw.nl/,done,3.2,2026-03-24 11:02:51.65384+00,2026-03-24 11:03:39.30001+00
scan.publicvibes.nl,https://scan.publicvibes.nl/,done,5.0,2026-03-24 11:01:17.175562+00,2026-03-24 11:01:58.763965+00
i-b-s.nl,https://i-b-s.nl/,done,5.0,2026-03-24 11:00:19.475294+00,2026-03-24 11:01:10.188635+00
app.divault.com,https://app.divault.com/,done,4.1,2026-03-24 10:54:35.400083+00,2026-03-24 10:55:27.195016+00
auth.datamaskcloud.nl,https://auth.datamaskcloud.nl/connect/authorize?client_id=private_test&redirect_uri=https%3A%2F%2Fportalv2.datamaskcloud.nl%2Fcasesbackend%2Fidentity-signin&response_type=code&scope=openid%20profile&code_challenge=pGgDpW318L3EKKPNuieWnR92rXw5qCFAclWYbwnkidg&code_challenge_method=S256&response_mode=form_post&nonce=639099454272013919.OTI1NTA0NTctYTJkMy00OThiLThhNWMtYjJlZTI2Mjg1YzZlMjZlZjg4NzYtNjkwNC00MmYyLTk3YTYtNTAzYWJiZTJhYzU3&state=CfDJ8PKlTFI3o_FBgxmftGTQljRZY-OtpLktwlnEnW0t5VPsfzpvNhDHIz43xMy859xqwLADkSl45o7jW7T8Rj4PrQevVT0yJO8BEEIWcbNaXyFcp40iAjiDxYnF7TRON-ewvkIwb6CIL31F48U4A2ACkdZnOhEf0xcJ2m9UzXNgjjU6kR6wZF4S3pgi4BUUeAzBlKKf4E_ayo1PfJEywD324q2S3c0j7eYpsuTgwP2SV_mMOP3XJyZn9Vzx__5hoHhXyj67l2BhzM-1iK6s2xsholFgVoVltv1U8pdgy3QgvZsxD0uPH6g6NMk6z1hPWWzgnnvSc8xDlObGySIJslCoVS16f3PpsS1rouPZ-XdwVTTSjMrI5uj2XE7TViPA0V8IXrCVsaswGtCsPPacnJF6GTogTuwkjAIsVf9EG1byT4GGDMQe3cMbwTg6GM-gEx11XEHgA631kB1K8pIbkNR5CtM,done,4.6,2026-03-24 10:37:21.561802+00,2026-03-24 10:38:06.337415+00
beheer.socie.nl,https://beheer.socie.nl/#/login/socie,done,1.0,2026-03-24 10:34:55.471067+00,2026-03-24 10:35:59.461938+00
www.goeree-overflakkee.nl,https://www.goeree-overflakkee.nl/,done,1.6,2026-03-24 10:34:07.367485+00,2026-03-24 10:35:00.346291+00
signon.ibabs.eu,https://signon.ibabs.eu/Login?ReturnUrl=%2FOAuth%2FAuthorize%3Fresponse_type%3Dcode%26client_id%3DA5D450B5-D6C3-4C75-8BEF-665152DBD455%26redirect_uri%3Dhttps%253A%252F%252Fportal.ibabs.eu%252Fsignin-iBabs%26state%3DepNuoUNkGn77TIcAu7MBHW7KYpp0A4-dPtN526sEQnmnShFFCcAyJa2CtSluiyZ7O6p3TvHKpjMJp2zbgr86Qo2clN-orx2vBr-jaWx9Y3PFNcfYkCkJrU1tB0gI1PFLqA84B92shwYJLTQkzU7It1yr5PCqTHw54OTUoa-8GD-teMPyrhPjZL7dkaGi194u1p9XdkXG7KFxHpCRgiPH4K24a8PWNBbeaf05XxTOL4lOhze1i-X-28cZnuCmYqdf,done,1.0,2026-03-24 10:31:56.40228+00,2026-03-24 10:32:37.770031+00
