"Domein";"Officiële naam organisatie";"TOOi URI organisatie";"Gebruiksdoel";"Omschrijving";"Startdatum";"Einddatum";"Archief URL"
"www.albrandswaard.nl";"Gemeente Albrandswaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm0613";"Website";"";"";"";""
"afvalalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.embracecloud.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.incijfers.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.notubiz.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.pcportal.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.raadsinformatie.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almere.webshop.parkeer.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almereconnect.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almereinzicht.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"almeremodules.ximmio.com";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"bezoek.parkeer.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"digitaalerfgoed.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"documentwijzer.raadvanalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"edienstenburgerzaken.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"eloket.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"english.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"formulieren.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"inkoopplein.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"kavelwinkel.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"maps.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"meldingen.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"mijninkomen.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"mijnstembureau-almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"oens.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"raadvanalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"slavernijmonumentalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"snelbalie.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"sociaaldomein.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"sportencultuur.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"sportsupport.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"stadsarchief.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"stadsgesprekken.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"talentcenter.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"wb-almere.qmatic.cloud";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"wijkteams.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"wooalmere.notubiz.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"www.almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"www.alsiklatergrootbeninalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"www.daretodreamin036.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"www.stadspasalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"www.werkenbijalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"zijpalm.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Website";"";"";"";""
"aandeslag.gemeentealtena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Website";"";"";"";""
"actiefinaltena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Website";"";"";"";""
"altena.afvalstoffendienstkalender.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Website";"";"";"";""
