"domeinnaamregistratie";"Officiële naam organisatie";"TOOi URI organisatie";"Registratiehouder";"Registrar";"Eerste registratiedatum";"Doel";"Einde registratie"
"albrandswaard.nl";"Gemeente Albrandswaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm0613";"Onbekend";"";"";"Onbekend";""
"zijpalm.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"stadspasalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"almereinzicht.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"alsiklatergrootbeninalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"daretodreamin036.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"raadvanalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"slavernijmonumentalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"werkenbijalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"mijnstembureau-almere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"afvalalmere.nl";"Gemeente Almere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0034";"Onbekend";"";"";"Onbekend";""
"actiefinaltena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"gemeentealtena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"werkenbijgemeentealtena.nl";"Gemeente Altena";"https://identifier.overheid.nl/tooi/id/gemeente/gm1959";"Onbekend";"";"";"Onbekend";""
"duurzaamameland.nl";"Gemeente Ameland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0060";"Onbekend";"";"";"Onbekend";""
