naam,provincie,cbs_code,website
Aa en Hunze,Drenthe,1680,https://www.aaenhunze.nl
Aalsmeer,Noord-Holland,0358,https://www.aalsmeer.nl
Aalten,Gelderland,0197,https://www.aalten.nl
Achtkarspelen,Friesland,0059,https://www.achtkarspelen.nl
Alblasserdam,Zuid-Holland,0482,https://www.alblasserdam.nl
Albrandswaard,Zuid-Holland,0613,https://www.albrandswaard.nl
Alkmaar,Noord-Holland,0361,https://www.alkmaar.nl
Almelo,Overijssel,0141,https://www.almelo.nl
Almere,Flevoland,0034,https://www.almere.nl
Alphen aan den Rijn,Zuid-Holland,0484,https://www.alphenaandenrijn.nl
Alphen-Chaam,Noord-Brabant,1723,https://www.alphen-chaam.nl
Altena,Noord-Brabant,1959,https://www.gemeentealtena.nl
Ameland,Friesland,0060,https://www.ameland.nl
Amersfoort,Utrecht,0307,https://www.amersfoort.nl
Amstelveen,Noord-Holland,0362,https://www.amstelveen.nl
Amsterdam,Noord-Holland,0363,https://www.amsterdam.nl
Apeldoorn,Gelderland,0200,https://www.apeldoorn.nl
Arnhem,Gelderland,0202,https://www.arnhem.nl
Assen,Drenthe,0106,https://www.assen.nl
Asten,Noord-Brabant,0743,https://www.asten.nl
Baarle-Nassau,Noord-Brabant,0744,https://www.baarle-nassau.nl
Baarn,Utrecht,0308,https://www.baarn.nl
Barendrecht,Zuid-Holland,0489,https://www.barendrecht.nl
Barneveld,Gelderland,0203,https://www.barneveld.nl
Beek,Limburg,0888,https://www.gemeentebeek.nl
Beekdaelen,Limburg,1954,https://www.beekdaelen.nl
Beesel,Limburg,0889,https://www.beesel.nl
Berg en Dal,Gelderland,1945,https://www.bergendal.nl
Bergeijk,Noord-Brabant,1724,https://www.bergeijk.nl
Bergen,Limburg,0893,https://www.bergen.nl
Bergen,Noord-Holland,0373,https://www.bergen.nl
Bergen op Zoom,Noord-Brabant,0748,https://www.bergenopzoom.nl
Berkelland,Gelderland,1859,https://www.berkelland.nl
Bernheze,Noord-Brabant,1721,https://www.bernheze.nl
Best,Noord-Brabant,0753,https://www.best.nl
Beuningen,Gelderland,0209,https://www.beuningen.nl
Beverwijk,Noord-Holland,0375,https://www.beverwijk.nl
Bladel,Noord-Brabant,1728,https://www.bladel.nl
Blaricum,Noord-Holland,0376,https://www.blaricum.nl
Bloemendaal,Noord-Holland,0377,https://www.bloemendaal.nl
Bodegraven-Reeuwijk,Zuid-Holland,1901,https://www.bodegraven-reeuwijk.nl
Boekel,Noord-Brabant,0755,https://www.boekel.nl
Bonaire,Caribisch Nederland,9001,https://www.bonaire.nl
Borger-Odoorn,Drenthe,1681,https://www.borger-odoorn.nl
Borne,Overijssel,0147,https://www.borne.nl
Borsele,Zeeland,0654,https://www.borsele.nl
Boxtel,Noord-Brabant,0757,https://www.boxtel.nl
Breda,Noord-Brabant,0758,https://www.breda.nl
Bronckhorst,Gelderland,1876,https://www.bronckhorst.nl
Brummen,Gelderland,0213,https://www.brummen.nl
Brunssum,Limburg,0899,https://www.brunssum.nl
Bunnik,Utrecht,0312,https://www.bunnik.nl
Bunschoten,Utrecht,0313,https://www.bunschoten.nl
Buren,Gelderland,0214,https://www.buren.nl
Capelle aan den IJssel,Zuid-Holland,0502,https://www.capelleaandenijssel.nl
Castricum,Noord-Holland,0383,https://www.castricum.nl
Coevorden,Drenthe,0109,https://www.coevorden.nl
Cranendonck,Noord-Brabant,1706,https://www.cranendonck.nl
Culemborg,Gelderland,0216,https://www.culemborg.nl
Dalfsen,Overijssel,0148,https://www.dalfsen.nl
Dantumadeel,Friesland,1891,https://www.dantumadeel.nl
De Bilt,Utrecht,0310,https://www.debilt.nl
De Friese Meren,Friesland,1940,https://www.defriesemeren.nl
De Ronde Venen,Utrecht,0736,https://www.derondevenen.nl
De Wolden,Drenthe,1690,https://www.dewolden.nl
Delft,Zuid-Holland,0503,https://www.delft.nl
Den Haag('s-Gravenhage),Zuid-Holland,0518,https://www.denhaag.nl
Den Helder,Noord-Holland,0400,https://www.denhelder.nl
Deurne,Noord-Brabant,0762,https://www.deurne.nl
Deventer,Overijssel,0150,https://www.deventer.nl
Diemen,Noord-Holland,0384,https://www.diemen.nl
Dijk en Waard,Noord-Holland,1980,https://www.dijkenwaard.nl
Dinkelland,Overijssel,1774,https://www.dinkelland.nl
Doesburg,Gelderland,0221,https://www.doesburg.nl
Doetinchem,Gelderland,0222,https://www.doetinchem.nl
Dongen,Noord-Brabant,0766,https://www.dongen.nl
Dordrecht,Zuid-Holland,0505,https://www.dordrecht.nl
Drechterland,Noord-Holland,0498,https://www.drechterland.nl
Drimmelen,Noord-Brabant,1719,https://www.drimmelen.nl
Dronten,Flevoland,0303,https://www.dronten.nl
Druten,Gelderland,0225,https://www.druten.nl
Duiven,Gelderland,0226,https://www.duiven.nl
Echt-Susteren,Limburg,1711,https://www.echt-susteren.nl
Edam-Volendam,Noord-Holland,0385,https://www.edam-volendam.nl
Ede,Gelderland,0228,https://www.ede.nl
Eemnes,Utrecht,0317,https://www.eemnes.nl
Eemsdelta,Groningen,1979,https://www.eemsdelta.nl
Eersel,Noord-Brabant,0770,https://www.eersel.nl
Eijsden-Margraten,Limburg,1903,https://www.eijsden-margraten.nl
Eindhoven,Noord-Brabant,0772,https://www.eindhoven.nl
Elburg,Gelderland,0230,https://www.elburg.nl
Emmen,Drenthe,0114,https://www.emmen.nl
Enkhuizen,Noord-Holland,0388,https://www.enkhuizen.nl
Enschede,Overijssel,0153,https://www.enschede.nl
Epe,Gelderland,0232,https://www.epe.nl
Ermelo,Gelderland,0233,https://www.ermelo.nl
Etten-Leur,Noord-Brabant,0777,https://www.etten-leur.nl
Geertruidenberg,Noord-Brabant,0779,https://www.geertruidenberg.nl
Geldrop-Mierlo,Noord-Brabant,1771,https://www.geldrop-mierlo.nl
Gemert-Bakel,Noord-Brabant,1652,https://www.gemert-bakel.nl
